humidity,light,temperature,timestamp
41.0,-1.0,16.06,2025-04-23 00:20:00.718
41.0,-1.0,16.26,2025-04-23 00:30:00.733
41.0,-1.0,16.18,2025-04-23 00:40:00.748
41.0,-1.0,16.77,2025-04-23 00:50:00.764
41.0,-1.0,16.69,2025-04-23 01:00:00.779
41.0,-1.0,16.77,2025-04-23 01:10:00.794
41.0,-1.0,16.88,2025-04-23 01:20:00.809
41.0,-1.0,16.97,2025-04-23 01:30:00.824
41.0,-2.0,16.74,2025-04-23 01:40:00.839
41.0,-1.0,16.71,2025-04-23 01:50:00.854
40.0,-1.0,16.77,2025-04-23 02:00:00.869
40.0,-1.0,16.97,2025-04-23 02:10:00.884
40.0,-1.0,17.02,2025-04-23 02:20:00.899
40.0,-1.0,16.85,2025-04-23 02:30:00.914
40.0,-1.0,16.6,2025-04-23 02:40:00.929
40.0,-1.0,16.52,2025-04-23 02:50:00.944
40.0,-1.0,16.66,2025-04-23 03:00:00.960
40.0,-1.0,16.52,2025-04-23 03:10:00.975
40.0,-1.0,16.4,2025-04-23 03:20:00.990
40.0,-1.0,16.63,2025-04-23 03:30:01.005
40.0,-1.0,16.54,2025-04-23 03:40:01.020
40.0,-1.0,16.32,2025-04-23 03:50:01.035
40.0,-1.0,16.23,2025-04-23 04:00:01.050
40.0,-1.0,16.26,2025-04-23 04:10:01.065
40.0,-1.0,16.37,2025-04-23 04:20:01.080
39.0,-1.0,16.4,2025-04-23 04:30:01.095
39.0,-1.0,16.4,2025-04-23 04:40:01.110
39.0,-1.0,16.43,2025-04-23 04:50:01.125
39.0,-1.0,16.12,2025-04-23 05:00:01.141
39.0,-1.0,16.23,2025-04-23 05:10:01.156
39.0,-1.0,15.86,2025-04-23 05:20:01.171
39.0,-1.0,16.18,2025-04-23 05:30:01.186
39.0,-1.0,16.23,2025-04-23 05:40:01.201
39.0,-1.0,16.4,2025-04-23 05:50:01.216
39.0,-1.0,16.12,2025-04-23 06:00:01.231
39.0,-1.0,16.29,2025-04-23 06:10:01.246
39.0,-1.0,16.15,2025-04-23 06:20:01.261
39.0,-1.0,16.0,2025-04-23 06:30:01.276
39.0,-1.0,16.12,2025-04-23 06:40:01.291
39.0,-1.0,15.69,2025-04-23 06:50:01.306
39.0,0.0,16.0,2025-04-23 07:00:01.322
39.0,10.0,15.66,2025-04-23 07:10:01.337
39.0,19.0,15.66,2025-04-23 07:20:01.352
39.0,32.0,15.6,2025-04-23 07:30:01.367
38.0,49.0,15.4,2025-04-23 07:40:01.382
38.0,60.0,15.75,2025-04-23 07:50:01.397
38.0,62.0,15.66,2025-04-23 08:00:01.412
38.0,70.0,15.69,2025-04-23 08:10:01.427
39.0,64.0,16.15,2025-04-23 08:20:01.442
38.0,69.0,16.0,2025-04-23 08:30:01.457
38.0,78.0,16.2,2025-04-23 08:40:01.472
38.0,77.0,16.43,2025-04-23 08:50:01.487
38.0,84.0,16.26,2025-04-23 09:00:01.503
39.0,82.0,16.6,2025-04-23 09:10:01.518
38.0,85.0,16.43,2025-04-23 09:20:01.533
39.0,84.0,16.83,2025-04-23 09:30:01.548
39.0,85.0,16.99,2025-04-23 09:40:01.563
38.0,86.0,17.78,2025-04-23 09:50:01.578
38.0,89.0,17.36,2025-04-23 10:00:01.593
39.0,86.0,17.41,2025-04-23 10:10:01.608
39.0,86.0,17.44,2025-04-23 10:20:01.623
39.0,87.0,17.86,2025-04-23 10:30:01.638
39.0,90.0,18.08,2025-04-23 10:40:01.653
39.0,92.0,18.33,2025-04-23 10:50:01.668
39.0,90.0,18.52,2025-04-23 11:00:01.684
39.0,82.0,18.38,2025-04-23 11:10:01.699
39.0,87.0,18.13,2025-04-23 11:20:01.714
39.0,87.0,18.49,2025-04-23 11:30:01.729
39.0,96.0,18.93,2025-04-23 11:40:01.744
39.0,92.0,18.96,2025-04-23 11:50:01.759
39.0,91.0,19.17,2025-04-23 12:00:01.774
39.0,96.0,19.61,2025-04-23 12:10:01.789
39.0,98.0,19.98,2025-04-23 12:20:01.804
39.0,100.0,20.49,2025-04-23 12:30:01.819
39.0,100.0,20.2,2025-04-23 12:40:01.834
40.0,95.0,20.49,2025-04-23 12:50:01.850
39.0,91.0,20.52,2025-04-23 13:00:01.865
40.0,100.0,21.39,2025-04-23 13:10:01.880
40.0,100.0,21.52,2025-04-23 13:20:01.895
40.0,96.0,22.04,2025-04-23 13:30:01.910
40.0,99.0,21.7,2025-04-23 13:40:01.925
41.0,100.0,22.59,2025-04-23 13:50:01.940
41.0,100.0,22.61,2025-04-23 14:00:01.955
41.0,99.0,22.2,2025-04-23 14:10:01.970
41.0,97.0,21.91,2025-04-23 14:20:01.985
41.0,97.0,21.99,2025-04-23 14:30:02.000
42.0,100.0,22.9,2025-04-23 14:40:02.015
42.0,97.0,22.23,2025-04-23 14:50:02.031
42.0,99.0,22.17,2025-04-23 15:00:02.046
42.0,92.0,21.86,2025-04-23 15:10:02.061
41.0,99.0,22.2,2025-04-23 15:20:02.076
41.0,94.0,22.15,2025-04-23 15:30:02.091
41.0,93.0,22.09,2025-04-23 15:40:02.106
41.0,97.0,22.15,2025-04-23 15:50:02.121
42.0,94.0,22.82,2025-04-23 16:00:02.136
42.0,92.0,22.25,2025-04-23 16:10:02.151
41.0,100.0,23.8,2025-04-23 16:20:02.166
43.0,100.0,23.98,2025-04-23 16:30:02.181
43.0,89.0,22.2,2025-04-23 16:40:02.196
43.0,86.0,22.23,2025-04-23 16:50:02.212
41.0,91.0,22.2,2025-04-23 17:00:02.227
41.0,87.0,22.33,2025-04-23 17:10:02.242
41.0,81.0,22.04,2025-04-23 17:20:02.257
41.0,69.0,21.6,2025-04-23 17:30:02.272
40.0,56.0,21.34,2025-04-23 17:40:02.287
40.0,38.0,21.12,2025-04-23 17:50:02.302
40.0,26.0,20.78,2025-04-23 18:00:02.317
40.0,6.0,20.6,2025-04-23 18:10:02.332
40.0,1.0,20.52,2025-04-23 18:20:02.347
40.0,-4.0,20.17,2025-04-23 18:30:02.362
40.0,-5.0,20.12,2025-04-23 18:40:02.377
39.0,-5.0,19.9,2025-04-23 18:50:02.393
39.0,-5.0,19.69,2025-04-23 19:00:02.408
39.0,-5.0,19.66,2025-04-23 19:10:02.423
39.0,-5.0,19.15,2025-04-23 19:20:02.438
39.0,-5.0,19.28,2025-04-23 19:30:02.453
39.0,-5.0,18.41,2025-04-23 19:40:02.468
39.0,-5.0,18.55,2025-04-23 19:50:02.483
39.0,-5.0,18.93,2025-04-23 20:00:02.498
39.0,-5.0,19.12,2025-04-23 20:10:02.513
38.0,-5.0,18.74,2025-04-23 20:20:02.528
38.0,-5.0,18.66,2025-04-23 20:30:02.543
38.0,-5.0,18.27,2025-04-23 20:40:02.558
38.0,-3.0,18.52,2025-04-23 20:50:02.574
38.0,-4.0,18.49,2025-04-23 21:00:02.589
38.0,-3.0,18.16,2025-04-23 21:10:02.604
38.0,-5.0,17.16,2025-04-23 21:20:02.619
38.0,-5.0,17.89,2025-04-23 21:30:02.634
38.0,-5.0,17.11,2025-04-23 21:40:02.649
38.0,-5.0,17.44,2025-04-23 21:50:02.664
38.0,-5.0,17.16,2025-04-23 22:00:02.679
38.0,-5.0,16.15,2025-04-23 22:10:02.694
38.0,-5.0,17.02,2025-04-23 22:20:02.709
37.0,-5.0,16.99,2025-04-23 22:30:02.724
37.0,-5.0,16.4,2025-04-23 22:40:02.739
37.0,-5.0,16.26,2025-04-23 22:50:02.755
37.0,-5.0,15.75,2025-04-23 23:00:02.770
37.0,-5.0,15.52,2025-04-23 23:10:02.785
37.0,-5.0,15.8,2025-04-23 23:20:02.800
37.0,-5.0,15.69,2025-04-23 23:30:02.815
37.0,-5.0,15.92,2025-04-23 23:40:02.830
36.0,-5.0,15.66,2025-04-23 23:50:02.845
36.0,-5.0,16.03,2025-04-24 00:00:02.860
36.0,-5.0,15.11,2025-04-24 00:10:02.875
36.0,-5.0,15.29,2025-04-24 00:20:02.890
36.0,-5.0,15.05,2025-04-24 00:30:02.905
36.0,-5.0,14.85,2025-04-24 00:40:02.920
35.0,-5.0,15.2,2025-04-24 00:50:02.936
35.0,-5.0,15.2,2025-04-24 01:00:02.951
36.0,-5.0,15.37,2025-04-24 01:10:02.966
35.0,-5.0,14.2,2025-04-24 01:20:02.981
35.0,-5.0,14.47,2025-04-24 01:30:02.996
35.0,-5.0,13.94,2025-04-24 01:40:03.011
35.0,-5.0,14.03,2025-04-24 01:50:03.026
35.0,-5.0,14.26,2025-04-24 02:00:03.041
35.0,-5.0,13.82,2025-04-24 02:10:03.056
